Set4 Id,ToolsLiking1,ToolsLiking2,ToolsLiking3,ToolsLiking4
aOWX,tableau,,,
ggnG,qgis,d3,observable plot,
ATKe,illustrator,rawgraphs,powerpoint,
bDAh,excel,tableau,flourish,
Oxph,sap business objects,sas,vba,
DImT,ggplot,excel,canva,
lgJG,tableau,,,
FaIE,tableau,excel,powerpoint,
gmQf,tableau,google data studio,plotly,
pMpl,agol,power bi,datawrapper,
mZpn,pen and paper,illustrator,google sheets,tableau
haDD,looker,tableau,,
HQUc,illustrator,datylon,,
WuBK,python,,,
DGrt,r,,,
yBMO,r,r,flourish,
YHeD,google sheets,powerpoint,excel,
GIaU,arcgis,illustrator,,
oJtz,spss,sas,r,
ADKV,d3,,,
BknR,power bi,dash,plotly,
ETjc,excel,powerpoint,canva,
GcBy,d3,tableau,python,
LIcI,ggplot,d3,,
OdXn,tableau,pen and paper,powerpoint,
eOrH,figma,,,
PpMi,figma,to be honest i don't enjoy building data visualization with the current dashboarding tools,,
AYFU,excel,,,
ZEyW,tableau,powerpoint,google sheets,
iaVo,power bi,,,
XKKe,excel,arcgis,ms whiteboard,
roEt,excel,tableau,,
pBNZ,pen and paper,pen and paper,houdini,
mmUJ,figma,figjam,d3,
AgvT,illustrator,powerpoint,,
mGgr,pen and paper,excel,,
CZvp,qgis,r,power bi,
UBOW,plotly,qgis,arcgis,
pXRx,d3,leaflet.js,,
ZbrA,excel,tableau,mapbox,
gWOT,excel,sisense,pen and paper,
OFcH,tableau,,,
ATnl,r,adobe illustrator,power bi,
fJWg,d3,python,blender,
GPEL,r,flourish,,
rBoA,powerpoint,,,
ZZql,tableau,power bi,excel,
cQPO,google sheets,tableau,,
CFeU,tableau,d3,,
BepF,tableau,power bi,r,
pNcO,d3,highcharts,apache echarts,
qqrB,power bi,,,
sDXr,d3,svelte,tableau,
dfPP,powerpoint,,,
PCuP,microstrategy,power bi,,
nhno,datawrapper,excel,,
tbVa,excel,tableau,powerpoint,
xFjT,ggplot,illustrator,,
xxvX,excel,paper and pencil,photoshop,
RfTX,python,r,tableau,
YBNZ,illustrator,camtasia,storyline,
okfU,tableau,,,
aCPm,flourish,adobe illustrator,,
tGqp,bold of you to assume i enjoy my job.,,,
fgMq,flourish,excel,,
qZPr,power bi,tableau,,
VKyJ,tableau,r,excel,
eubP,tableau,python,,
wowt,illustrator,pen and paper,rawgraphs,
BKLn,swagger,excel,,
nSTP,tableau,r,flourish,
GzCp,canva,google sheets,plotly,
ckpx,excel,,,
pjic,tableau,,,
ejYi,tableau,figma,,
Simp,microstrategy,google data studio,matplotlib,
UkGM,tableau,,,
