set4_id,DataVizRoles_collapsed,YearsDataVizExperience_buckets,ToolsFreq_,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,ToolsFreq_ArcGIS_encoded,ToolsFreq_Canva_encoded,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL
URFe,Employee,1-5,22,Rarely,Never,Often,Sometimes,Never,Often,Often,Never,Sometimes,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Sometimes,Often,Rarely,Often,Never,Rarely,Never,Often,Often,Never,Never,Rarely,Never,Often,Sometimes,Never,Never,Rarely,Often,Often,[^not answered],[^not answered],1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1
aOWX,EmployeeANDFreelanceAND,6-10,12,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],Tableau,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
ggnG,Freelance,6-10,25,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,[^not chosen],Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Rarely,Never,Rarely,Never,Never,Sometimes,Often,Never,Rarely,Rarely,Often,Never,Never,Never,Sometimes,Often,Sometimes,[^not answered],Qgis; d3; observable;,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
ATKe,FreelanceAND,16-20,15,Never,Rarely,Never,Never,Rarely,Often,Sometimes,Never,Never,Never,Often,Often,Never,Rarely,Never,Often,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Often,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Illustrator; RawGraphs; PowerPoint,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
bDAh,Academic,6-10,14,Never,Sometimes,Never,Never,Never,Often,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Often,Sometimes,Never,Sometimes,Often,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Never,[^not answered],Excel; Tableau; Flourish,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0
Oxph,EmployeeAND,1-5,8,Sometimes,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,SAP Business Objects; SAS Viya; Visual Basic for Applications (VBA),SAP Business Objects; SAS Viya; Visual Basic for Applications (VBA),1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
DImT,Employee,1-5,13,Rarely,Sometimes,Never,Never,Sometimes,Often,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Dundas BI; MySidewalk,ggplot2; Excel; Canva,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
lgJG,EmployeeANDFreelance,1-5,5,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Tableau,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FaIE,EmployeeANDFreelance,6-10,7,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Often,Never,Sometimes,Never,Never,Never,Never,[^not chosen],Sometimes,Never,Never,Never,Never,[^not answered],Tableau; Excel; PowerPoint,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
OLDs,Employee,1-5,3,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],[^not answered],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
